ORIGEM,DESTINO,CUSTO_AGREGADO,CUSTO_FROTA,MELHOR_CUSTO,VENCEDOR
Guarujá/SP,TORRINHA/SP,4960.713587200002,5253.3099999999995,4960.713587200002,AGREGADO
Guarujá/SP,TRABIJU/SP,5506.020620800001,5479.57,5479.57,FROTA
Guarujá/SP,TREMEMBE/SP,3268.5131576000003,3994.14,3268.5131576000003,AGREGADO
Guarujá/SP,TRES FRONTEIRAS/SP,8980.967287200001,11803.02,8980.967287200001,AGREGADO
Guarujá/SP,TUIUTI/SP,3251.3201624000003,2273.85,2273.85,FROTA
Guarujá/SP,TUPA/SP,7494.7621800000015,9177.14,7494.7621800000015,AGREGADO
Guarujá/SP,TUPI PAULISTA/SP,9206.1498792,12646.78,9206.1498792,AGREGADO
Guarujá/SP,TURIUBA/SP,8012.682141600001,9609.97,8012.682141600001,AGREGADO
Guarujá/SP,TURMALINA/SP,8755.784695200002,18016.19,8755.784695200002,AGREGADO
Guarujá/SP,UBARANA/SP,7258.3204584000005,8970.55,7258.3204584000005,AGREGADO
Guarujá/SP,UBATUBA/SP,4102.991065600001,2450.93,2450.93,FROTA
Guarujá/SP,UBIRAJARA/SP,6267.1783552000015,8055.6900000000005,6267.1783552000015,AGREGADO
Guarujá/SP,UCHOA/SP,6689.734413600002,8163.9,6689.734413600002,AGREGADO
Guarujá/SP,UNIAO PAULISTA/SP,7646.760429600001,9029.57,7646.760429600001,AGREGADO
Guarujá/SP,URANIA/SP,8682.600352800002,11388.81,8682.600352800002,AGREGADO
Guarujá/SP,URU/SP,6391.367479200002,8232.76,6391.367479200002,AGREGADO
Guarujá/SP,URUPES/SP,6807.955274400001,8213.08,6807.955274400001,AGREGADO
Guarujá/SP,Valentim Gentil/SP,8012.682141600001,9344.369999999999,8012.682141600001,AGREGADO
Guarujá/SP,VALINHOS/SP,2918.9222551999997,2195.16,2195.16,FROTA
Guarujá/SP,VALPARAISO/SP,8068.9777896000005,9678.83,8068.9777896000005,AGREGADO
Guarujá/SP,VARGEM/SP,3102.314204,2126.3,2126.3,FROTA
Guarujá/SP,VARGEM GRANDE DO SUL/SP,4563.093875200001,4977.87,4563.093875200001,AGREGADO
Guarujá/SP,VARZEA PAULISTA/SP,2649.800836,1990.44,1990.44,FROTA
Guarujá/SP,VERA CRUZ/SP,6458.9222568000005,30994.81,6458.9222568000005,AGREGADO
Guarujá/SP,VIRADOURO/SP,6244.998794400001,7849.11,6244.998794400001,AGREGADO
Guarujá/SP,VISTA ALEGRE DO ALTO/SP,6210.375539200001,7721.22,6210.375539200001,AGREGADO
Guarujá/SP,VITORIA BRASIL/SP,8615.045575200002,11296.76,8615.045575200002,AGREGADO
Guarujá/SP,VOTORANTIM/SP,2947.5772472,2401.74,2401.74,FROTA
Guarujá/SP,VOTUPORANGA/SP,7838.165632800001,9186.970000000001,7838.165632800001,AGREGADO
Guarujá/SP,ZACARIAS/SP,7883.202151200001,,7883.202151200001,AGREGADO
Guarujá/SP,CALDAZINHA/GO,12932.921776800003,16390.03,12932.921776800003,AGREGADO
Guarujá/SP,SAO JOSE DA LAPA/MG,8800.8212136,11388.81,8800.8212136,AGREGADO
Guarujá/SP,CAMPO GRANDE/MS,13039.883508000003,17433.23,13039.883508000003,AGREGADO
Guarujá/SP,CUIABA/MT,20611.648164000006,25640.75,20611.648164000006,AGREGADO
Guarujá/SP,CAMPO LARGO/PR,6017.2459648,7849.11,6017.2459648,AGREGADO
Guarujá/SP,SAO GONCALO/RJ,7016.249172000001,8399.99,7016.249172000001,AGREGADO
Guarujá/SP,NOVA SANTA RITA/RS,13698.542589600002,18691.2,13698.542589600002,AGREGADO
Guarujá/SP,SANTO AMARO DA IMPERATRIZ/SC,8789.562084000001,11971.78,8789.562084000001,AGREGADO
Guarujá/SP,MONTANHA/ES,15764.592871200002,,15764.592871200002,AGREGADO
Guarujá/SP,PORANGATU/GO,17419.684922400003,22342.4,17419.684922400003,AGREGADO
Guarujá/SP,JAIBA/MG,15398.671159200003,20869.65,15398.671159200003,AGREGADO
Guarujá/SP,CORUMBA/MS,17819.3840232,23937.879999999997,17819.3840232,AGREGADO
Guarujá/SP,ARIPUANA/MT,31358.487367200003,40214.86,31358.487367200003,AGREGADO
Guarujá/SP,SANTA HELENA/PR,12887.885258400003,16604.81,12887.885258400003,AGREGADO
Guarujá/SP,BOM JESUS DO ITABAPOANA/RJ,9594.5898504,12048.47,9594.5898504,AGREGADO
Guarujá/SP,URUGUAIANA/RS,17915.086624800002,24796.99,17915.086624800002,AGREGADO
Guarujá/SP,SAO MIGUEL DO OESTE/SC,11925.229677600002,16604.81,11925.229677600002,AGREGADO
Guarujá/SP,SERRA/ES,12403.742685600002,16788.89,12403.742685600002,AGREGADO
Guarujá/SP,VIANA/ES,11992.784455200002,16251.95,11992.784455200002,AGREGADO
Guarujá/SP,VILA VELHA/ES,12144.782704800002,16420.71,12144.782704800002,AGREGADO
Guarujá/SP,HIDROLANDIA/GO,12139.153140000002,15561.61,12139.153140000002,AGREGADO
Guarujá/SP,IPAMERI/GO,10365.840228000001,13812.71,10365.840228000001,AGREGADO
Guarujá/SP,FRUTAL/MG,7596.094346400001,9009.9,7596.094346400001,AGREGADO
Guarujá/SP,Uberlândia/MG,8541.8612328,11296.76,8541.8612328,AGREGADO
Guarujá/SP,LUCAS DO RIO VERDE/MT,24535.454829600003,30258.440000000002,24535.454829600003,AGREGADO
Guarujá/SP,ARAUCARIA/PR,5790.0347008,7642.5199999999995,5790.0347008,AGREGADO
Guarujá/SP,DOURADINA/PR,11030.128874400001,17187.77,11030.128874400001,AGREGADO
Guarujá/SP,LONDRINA/PR,7748.092596000001,9413.22,7748.092596000001,AGREGADO
Guarujá/SP,DUQUE DE CAXIAS/RJ,6250.628359200001,7986.83,6250.628359200001,AGREGADO
Guarujá/SP,SEROPEDICA/RJ,5801.395264000002,7573.67,5801.395264000002,AGREGADO
Guarujá/SP,CAXIAS DO SUL/RS,11874.5635944,16190.59,11874.5635944,AGREGADO
Guarujá/SP,LAJEADO/RS,14666.8277352,20041.22,14666.8277352,AGREGADO
Guarujá/SP,SANTA CRUZ DO SUL/RS,15167.859002400002,20624.19,15167.859002400002,AGREGADO
Guarujá/SP,VENANCIO AIRES/RS,14852.603373600003,20271.34,14852.603373600003,AGREGADO
Guarujá/SP,ARARANGUA/SC,10838.723671200001,14779.199999999999,10838.723671200001,AGREGADO
Guarujá/SP,BARRA VELHA/SC,7196.3952456000015,8911.529999999999,7196.3952456000015,AGREGADO
Guarujá/SP,ITAJAI/SC,7629.871735200001,9285.35,7629.871735200001,AGREGADO
Guarujá/SP,JOINVILLE/SC,6723.511802400002,8478.68,6723.511802400002,AGREGADO
Guarujá/SP,NAVEGANTES/SC,7579.205652000001,9245.99,7579.205652000001,AGREGADO
Guarujá/SP,PORTO BELO/SC,8035.2004008,9629.65,8035.2004008,AGREGADO
Guarujá/SP,BARUERI/SP,2148.2116840000003,1888.94,1888.94,FROTA
Guarujá/SP,CAMPINAS/SP,2976.2322392,2224.67,2224.67,FROTA
Guarujá/SP,GUARULHOS/SP,2200.703572,1378.67,1378.67,FROTA
Guarujá/SP,JUNDIAÍ/SP,2573.9792199999997,1985.6100000000001,1985.6100000000001,FROTA
Guarujá/SP,LOUVEIRA/SP,2748.9521799999998,2053.28,2053.28,FROTA
Guarujá/SP,RIBEIRÃO PRETO/SP,5625.306534400001,5774.68,5625.306534400001,AGREGADO
Guarujá/SP,SALTO/SP,2976.2322392,11756.99,2976.2322392,AGREGADO
Guarujá/SP,ITANHAÉM/SP,1715.9144816,1218.3200000000002,1218.3200000000002,FROTA
Guarujá/SP,SÃO CAETANO DO SUL/SP,1553.30362,1150.44,1150.44,FROTA
Guarujá/SP,EMBU GUACU/SP,2276.525188,1908.27,1908.27,FROTA
Guarujá/SP,SÃO LOURENÇO DA SERRA/SP,2229.865732,1917.94,1917.94,FROTA
Guarujá/SP,NAZARÉ PAULISTA/SP,2976.2322392,1990.44,1990.44,FROTA
Guarujá/SP,JUQUIÁ/SP,2748.9521799999998,2165.65,2165.65,FROTA
Guarujá/SP,SALESÓPOLIS/SP,1734.1090120000001,1555.73,1555.73,FROTA
Guarujá/SP,JARINÚ/SP,2719.7900200000004,2155.81,2155.81,FROTA
Guarujá/SP,IBIÚNA/SP,2527.3197640000003,2043.6100000000001,2043.6100000000001,FROTA
Guarujá/SP,SÃO SEBASTIÃO/SP,2218.200868,1884.1000000000001,1884.1000000000001,FROTA
Guarujá/SP,ALUMÍNIO/SP,2568.1467879999996,9560.79,2568.1467879999996,AGREGADO
Guarujá/SP,TREMEMBÉ/SP,3268.5131576000003,3994.14,3268.5131576000003,AGREGADO
Guarujá/SP,TIETÊ/SP,3555.0630776000003,4161.37,3555.0630776000003,AGREGADO
Guarujá/SP,COSMÓPOLIS/SP,3474.8291,4003.9700000000003,3474.8291,AGREGADO
Guarujá/SP,SÃO LUIS DO PARAITINGA/SP,2959.039244,4181.05,2959.039244,AGREGADO
Guarujá/SP,CAMANDUCAIA/MG,3514.9460888,2480.44,2480.44,FROTA
Guarujá/SP,SÃO PEDRO/SP,4040.507968000001,4574.54,4040.507968000001,AGREGADO
Guarujá/SP,SÃO JOÃO DA BOA VISTA/SP,4369.964300800001,4790.96,4369.964300800001,AGREGADO
Guarujá/SP,SÃO MANUEL/SP,4676.699507200001,5302.49,4676.699507200001,AGREGADO
Guarujá/SP,SÃO JOSE DO RIO PARDO/SP,4801.6657024000015,5164.77,4801.6657024000015,AGREGADO
Guarujá/SP,PORTO REAL/RJ,4869.829081600002,5341.84,4869.829081600002,AGREGADO
Guarujá/SP,SÃO SIMAO/SP,5119.761472000001,5420.54,5119.761472000001,AGREGADO
Guarujá/SP,CURITIBA/PR,5449.2178048000005,7327.73,5449.2178048000005,AGREGADO
Guarujá/SP,SÃO SEBASTIAO DO PARAISO/SP,6396.997044000001,7337.57,6396.997044000001,AGREGADO
Guarujá/SP,SÃO JOAQUIM DA BARRA/SP,6239.369229600001,7829.43,6239.369229600001,AGREGADO
Guarujá/SP,PROMISSÃO/SP,6830.473533600001,15254.78,6830.473533600001,AGREGADO
Guarujá/SP,JUIZ DE FORA/MG,7871.943021600001,8636.08,7871.943021600001,AGREGADO
Guarujá/SP,ARAXA/MG,8434.8995016,9639.49,8434.8995016,AGREGADO
Guarujá/SP,SANTA LUZIA/MG,8761.414260000001,14180.900000000001,8761.414260000001,AGREGADO
Guarujá/SP,TRES LAGOAS/MS,9144.224666400001,12570.08,9144.224666400001,AGREGADO
Guarujá/SP,MARINGA/PR,8761.414260000001,12293.93,8761.414260000001,AGREGADO
Guarujá/SP,ITUMBIARA/GO,10129.3985064,12968.95,10129.3985064,AGREGADO
Guarujá/SP,HIDROLÂNDIA/GO,12139.153140000002,15561.61,12139.153140000002,AGREGADO
Guarujá/SP,APARECIDA DE GOIÂNIA/GO,12330.558343200002,15822.4,12330.558343200002,AGREGADO
Guarujá/SP,Itapecerica/MG,7545.4282632,8832.83,7545.4282632,AGREGADO
Guarujá/SP,Jaboti/PR,7145.729162400002,8606.57,7145.729162400002,AGREGADO
Guarujá/SP,Eloi Mendes/MG,6193.3346944,5814.03,5814.03,FROTA
Guarujá/SP,Cataguases/MG,8727.636871200002,9590.3,8727.636871200002,AGREGADO
Guarujá/SP,Paranaíba/MS,9853.549831200002,13076.33,9853.549831200002,AGREGADO
Guarujá/SP,Vargeão/SC,9954.881997600001,13567.25,9954.881997600001,AGREGADO
Guarujá/SP,Mandaguari/PR,8406.751677600001,11803.02,8406.751677600001,AGREGADO
Guarujá/SP,José Bonifácio/SP,7410.318708000002,8822.99,7410.318708000002,AGREGADO
Guarujá/SP,Palmeiras de Goiás/GO,13580.3217288,16742.87,13580.3217288,AGREGADO
Guarujá/SP,Batayporã/MS,11052.647133600001,14625.789999999999,11052.647133600001,AGREGADO
Guarujá/SP,Goianésia/GO,14801.937290400001,18767.91,14801.937290400001,AGREGADO
Guarujá/SP,Várzea Grande/MT,20679.202941600004,25748.129999999997,20679.202941600004,AGREGADO
Guarujá/SP,Mirassol d'Oeste/MT,24034.4235624,30197.07,24034.4235624,AGREGADO
Guarujá/SP,Canoas/RS,13540.9147752,18507.11,13540.9147752,AGREGADO
Guarujá/SP,Novo Hamburgo/RS,13794.245191200003,18706.54,13794.245191200003,AGREGADO
Guarujá/SP,Itajubá/MG,4551.733312000001,5115.59,4551.733312000001,AGREGADO
Guarujá/SP,Borá/SP,7202.0248104,8911.529999999999,7202.0248104,AGREGADO
Guarujá/SP,Lucélia/SP,8327.937770400002,11358.130000000001,8327.937770400002,AGREGADO
Guarujá/SP,Santos/SP,1270.4181104000002,483.48,483.48,FROTA
Guarujá/SP,Piracicaba/SP,3675.414044,4240.07,3675.414044,AGREGADO
Guarujá/SP,Rio de Janeiro/RJ,6470.181386400002,8222.92,6470.181386400002,AGREGADO
Guarujá/SP,Santo André/SP,1471.649572,1158.31,1158.31,FROTA
Guarujá/SP,Engenheiro Coelho/SP,3749.9170232,4328.61,3749.9170232,AGREGADO
Guarujá/SP,Bebedouro/SP,6273.1466184,7849.11,6273.1466184,AGREGADO
Guarujá/SP,Matão/SP,5454.898086400002,5705.82,5454.898086400002,AGREGADO
Guarujá/SP,Paranavaí/PR,9673.403757600001,13367.82,9673.403757600001,AGREGADO
Guarujá/SP,Apucarana/PR,8249.123863200002,11618.92,8249.123863200002,AGREGADO
Guarujá/SP,Taubaté/SP,3119.5071992,1985.6100000000001,1985.6100000000001,FROTA
Guarujá/SP,Anhanguera/SP,2229.865732,12754.17,2229.865732,AGREGADO
Guarujá/SP,Agudos/SP,5284.489638400001,5814.03,5284.489638400001,AGREGADO
Guarujá/SP,Itapetininga/SP,3721.2620312,4407.3,3721.2620312,AGREGADO
Guarujá/SP,Sorocaba/SP,2964.7702424,2382.06,2382.06,FROTA
Guarujá/SP,Itupeva/SP,2766.4494760000002,2062.95,2062.95,FROTA
Guarujá/SP,Vinhedo/SP,2818.941364,2087.12,2087.12,FROTA
Guarujá/SP,Angatuba/SP,4182.515008,4849.98,4182.515008,AGREGADO
Guarujá/SP,Betim/MG,8192.828215200001,9373.88,8192.828215200001,AGREGADO
Guarujá/SP,Osasco/SP,2101.552228,1869.6000000000001,1869.6000000000001,FROTA
Guarujá/SP,São Paulo/SP,1763.2711720000002,1232.0900000000001,1232.0900000000001,FROTA
Guarujá/SP,Cajamar/SP,2387.341396,1975.94,1975.94,FROTA
Guarujá/SP,Capivari/SP,3320.0921432000005,4092.51,3320.0921432000005,AGREGADO
Guarujá/SP,Cariacica/ES,12178.560093600003,16482.079999999998,12178.560093600003,AGREGADO
Guarujá/SP,Vitoria/ES,12189.819223200002,16451.39,12189.819223200002,AGREGADO
Guarujá/SP,Guarani/MG,8868.3759912,,8868.3759912,AGREGADO
Guarujá/SP,Anápolis/GO,13349.509572000003,16911.62,13349.509572000003,AGREGADO
Guarujá/SP,Araguari/MG,8812.080343200001,11787.68,8812.080343200001,AGREGADO
Guarujá/SP,Ibiraci/MG,6858.6213576,8360.64,6858.6213576,AGREGADO
Guarujá/SP,Itaguari/GO,13940.613876000001,17908.8,13940.613876000001,AGREGADO
Guarujá/SP,Uberaba/MG,7337.134365600001,8813.16,7337.134365600001,AGREGADO
Guarujá/SP,PARÁ DE MINAS/MG,8722.0073064,9560.79,8722.0073064,AGREGADO
Guarujá/SP,CORUMBAIBA/GO,9791.624618400003,13076.33,9791.624618400003,AGREGADO
Guarujá/SP,MORADA NOVA/CE,33052.98637200001,44295.61,33052.98637200001,AGREGADO
Guarujá/SP,GOVERNADOR VALADARES/MG,12116.6348808,15776.380000000001,12116.6348808,AGREGADO
Guarujá/SP,SAO BENTO DO UNA/PE,30677.31002640001,40168.84,30677.31002640001,AGREGADO
Guarujá/SP,IBIÁ/MG,9436.962036000003,11956.43,9436.962036000003,AGREGADO
Guarujá/SP,PARANAVAI/PR,9673.403757600001,13367.82,9673.403757600001,AGREGADO
Guarujá/SP,São Bernardo do Campo/SP,1430.8225479999999,1032.4,1032.4,FROTA
Guarujá/SP,MAUÁ/SP,1570.8009160000001,1186.84,1186.84,FROTA
Guarujá/SP,CABREÚVA/SP,2935.5900039999997,2175.48,2175.48,FROTA
Guarujá/SP,PATOS DE MINAS/MG,10410.876746400001,12968.95,10410.876746400001,AGREGADO
